Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
105,23,2,103,6,Some Random Commen with Id 105
106,23,2,145,9,Some Random Commen with Id 106
107,23,2,122,1,Some Random Commen with Id 107
108,23,2,162,2,Some Random Commen with Id 108
109,23,2,102,1,Some Random Commen with Id 109
110,23,2,34,1,Some Random Commen with Id 110
111,24,1,94,7,Some Random Commen with Id 111
112,24,1,116,6,Some Random Commen with Id 112
113,24,1,53,6,Some Random Commen with Id 113
114,24,1,4,6,Some Random Commen with Id 114
115,24,1,164,5,Some Random Commen with Id 115
116,24,1,62,2,Some Random Commen with Id 116
117,24,1,66,2,Some Random Commen with Id 117
118,24,1,83,9,Some Random Commen with Id 118
119,24,1,53,5,Some Random Commen with Id 119
120,25,1,88,0,Some Random Commen with Id 120
121,25,1,30,3,Some Random Commen with Id 121
122,25,1,74,2,Some Random Commen with Id 122
123,25,1,147,5,Some Random Commen with Id 123
124,25,1,171,2,Some Random Commen with Id 124
125,26,6,141,6,Some Random Commen with Id 125
126,26,6,35,5,Some Random Commen with Id 126
127,26,6,181,8,Some Random Commen with Id 127
128,27,8,172,1,Some Random Commen with Id 128
129,27,8,82,1,Some Random Commen with Id 129
130,28,7,142,9,Some Random Commen with Id 130
131,28,7,119,2,Some Random Commen with Id 131
132,29,0,118,3,Some Random Commen with Id 132
133,29,0,35,4,Some Random Commen with Id 133
134,29,0,79,8,Some Random Commen with Id 134
135,29,0,116,7,Some Random Commen with Id 135
136,29,0,168,5,Some Random Commen with Id 136
137,29,0,137,6,Some Random Commen with Id 137
138,29,0,103,7,Some Random Commen with Id 138
139,29,0,35,5,Some Random Commen with Id 139
140,30,2,67,0,Some Random Commen with Id 140
141,30,2,196,6,Some Random Commen with Id 141
142,30,2,77,1,Some Random Commen with Id 142
143,30,2,26,9,Some Random Commen with Id 143
144,31,5,199,7,Some Random Commen with Id 144
145,32,2,192,5,Some Random Commen with Id 145
146,33,5,183,9,Some Random Commen with Id 146
147,33,5,109,1,Some Random Commen with Id 147
148,33,5,54,4,Some Random Commen with Id 148
149,34,2,40,6,Some Random Commen with Id 149
150,35,8,93,1,Some Random Commen with Id 150
151,35,8,48,5,Some Random Commen with Id 151
152,36,4,162,1,Some Random Commen with Id 152
153,36,4,135,4,Some Random Commen with Id 153
154,36,4,12,6,Some Random Commen with Id 154
155,37,5,98,8,Some Random Commen with Id 155
156,37,5,145,2,Some Random Commen with Id 156
157,37,5,98,0,Some Random Commen with Id 157
158,37,5,52,1,Some Random Commen with Id 158
159,37,5,122,7,Some Random Commen with Id 159
160,37,5,88,4,Some Random Commen with Id 160
161,37,5,24,3,Some Random Commen with Id 161
162,37,5,28,5,Some Random Commen with Id 162
163,37,5,62,4,Some Random Commen with Id 163
164,38,7,9,2,Some Random Commen with Id 164
165,38,7,60,6,Some Random Commen with Id 165
166,38,7,60,9,Some Random Commen with Id 166
167,38,7,171,5,Some Random Commen with Id 167
168,38,7,198,6,Some Random Commen with Id 168
169,38,7,59,2,Some Random Commen with Id 169
170,39,2,189,5,Some Random Commen with Id 170
171,39,2,148,2,Some Random Commen with Id 171
172,39,2,11,0,Some Random Commen with Id 172
